Restaurant,Meal Choice,Price,Comment
McDonald’s,Big Mac - Meal,$5.69,Beef
McDonald’s,Quarter Pounder with Cheese - Meal,$5.49,Beef
McDonald’s,Double Quarter Pounder with Cheese - Meal,$6.49,Beef
McDonald’s,Double Cheeseburger - Meal,$4.38,Beef
McDonald’s,Bacon & Cheese Quarter Pounder - Meal,$5.89,Beef
McDonald’s,Deluxe Quarter Pounder - Meal,$5.79,Beef
McDonald’s,Premium McWrap Chicken & Bacon (Grilled or Crispy) - Meal,$5.69,Chicken
McDonald’s,Premium McWrap Sweet Chili Chicken (Grilled or Crispy) - Meal,$5.89,Chicken
McDonald’s,Chicken Ranch BLT (Grilled or Crispy) - Meal,$5.99,Chicken
McDonald’s,Club Chicken (Grilled or Crispy) - Meal,$6.19,Chicken
McDonald’s,Classic Chicken (Grilled or Crispy) - Meal,$6.00,Chicken
McDonald’s,Southern Style Chicken - Meal,$5.59,Chicken
McDonald’s,Bacon Clubhouse Burger - Meal,$6.19,Beef
McDonald’s,Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,$6.29,Chicken
McDonald’s,McChicken - Meal,$3.79,Chicken
McDonald’s,Chicken McNuggets  Meal (10 Pc.),$6.09,Chicken
McDonald’s,Double Filet-O-Fish - Meal,$6.39,Fish
McDonald’s,Filet-O-Fish - Meal,$5.49,Fish
Burger King,Whopper - Meal,$6.39,Beef
Burger King,Double Whopper - Meal,$7.49,Beef
Burger King,Ultimate Bacon Cheeseburger - Meal,$8.49,Beef
Burger King,Big King - Meal,$6.29,Beef
Burger King,Extra Long BBQ Cheeseburger - Meal,$5.99,Beef
Burger King,Tendercrisp Chicken Sandwich - Meal,$7.39,Chicken
Burger King,Spicy Original Chicken Sandwich - Meal,$6.49,Chicken
Burger King,Original Chicken Sandwich - Meal,$6.69,Chicken
Burger King,Chicken Nuggets (10 Pc.) - Meal,$5.89,Chicken
Burger King,Chicken Strips (Original or Buffalo) (3 Pc.) - Meal,$5.99,Chicken
Burger King,Big Fish Sandwich - Meal,$6.39,Fish
Burger King,Double Cheeseburgers - Meal,$5.49,Beef
Wendy’s,Dave's Hot 'n Juicy 1/4 lb. Single with Cheese - Combo,$6.19,Beef
Wendy’s,Dave's Hot 'n Juicy 1/2 lb.. Double with Cheese - Combo,$7.19,Beef
Wendy’s,Baconator - Combo,$8.09,Beef
Wendy’s,Son of Baconator - Combo,$6.69,Beef
Wendy’s,Pretzel Bacon Cheeseburger - Combo,$7.39,Beef
Wendy’s,Spicy Chicken - Combo,$6.59,Chicken
Wendy’s,Homestyle Chicken - Combo,$6.69,Chicken
Wendy’s,Asiago Ranch Chicken Club - Combo,$7.39,Chicken
Wendy’s,Ultimate Chicken Grill - Combo,$6.79,Chicken
Wendy’s,10 Pc. Chicken Nuggets - Combo,$5.99,Chicken
