NOC_Code,NOC Title,Outlook,,Release Date,Province,Economic Region Code,Economic Region Name,LANG
NOC_0011,Legislators,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0012,Senior government managers and officials,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0013,Senior managers - financial. communications and other business services,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0014,Senior managers - health. education. social and community services and membership organizations,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0015,Senior managers - trade. broadcasting and other services. n.e.c.,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0016,Senior managers - construction. transportation. production and utilities,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0111,Financial managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0112,Human resources managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0113,Purchasing managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0114,Other administrative services managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0121,Insurance. real estate and financial brokerage managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0122,Banking. credit and other investment managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0124,Advertising. marketing and public relations managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0125,Other business services managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0131,Telecommunication carriers managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0132,Postal and courier services managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0211,Engineering managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0212,Architecture and science managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0213,Computer and information systems managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0311,Managers in health care,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0411,Government managers - health and social policy development and program administration,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0412,Government managers - economic analysis. policy development and program administration,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0413,Government managers - education policy development and program administration,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0414,Other managers in public administration,Good,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0421,Administrators - post-secondary education and vocational training,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0422,School principals and administrators of elementary and secondary education,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0423,Managers in social. community and correctional services,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0431,Commissioned police officers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0432,Fire chiefs and senior firefighting officers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0433,Commissioned officers of the Canadian Forces,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0511,Library. archive. museum and art gallery managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0512,Managers - publishing. motion pictures. broadcasting and performing arts,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0513,Recreation. sports and fitness program and service directors,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0601,Corporate sales managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0621,Retail and wholesale trade managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0631,Restaurant and food service managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0632,Accommodation service managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0651,Managers in customer and personal services. n.e.c.,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0711,Construction managers,Limited,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0712,Home building and renovation managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0714,Facility operation and maintenance managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0731,Managers in transportation,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0811,Managers in natural resources production and fishing,Good,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0821,Managers in agriculture,Good,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0822,Managers in horticulture,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0823,Managers in aquaculture,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0911,Manufacturing managers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_0912,Utilities managers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1111,Financial auditors and accountants,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1112,Financial and investment analysts,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1113,Securities agents. investment dealers and brokers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1114,Other financial officers,Good,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1121,Human resources professionals,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1122,Professional occupations in business management consulting,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1123,Professional occupations in advertising. marketing and public relations,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1211,Supervisors. general office and administrative support workers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1212,Supervisors. finance and insurance office workers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1213,Supervisors. library. correspondence and related information workers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1214,Supervisors. mail and message distribution occupations,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1215,Supervisors. supply chain. tracking and scheduling co-ordination occupations,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1221,Administrative officers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1222,Executive assistants,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1223,Human resources and recruitment officers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1224,Property administrators,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1225,Purchasing agents and officers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1226,Conference and event planners,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1227,Court officers and justices of the peace,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1228,Employment insurance. immigration. border services and revenue officers,Good,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1241,Administrative assistants,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1242,Legal administrative assistants,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1243,Medical administrative assistants,Good,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1251,Court reporters. medical transcriptionists and related occupations,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1252,Health information management occupations,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1253,Records management technicians,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1254,Statistical officers and related research support occupations,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1311,Accounting technicians and bookkeepers,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1312,Insurance adjusters and claims examiners,Fair,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1313,Insurance underwriters,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
NOC_1314,Assessors. valuators and appraisers,Undetermined,,18/12/2019,NL,1000,Newfoundland and Labrador,EN
